away_corner_kick,away_foul,away_offside,away_pass_fail,away_pass_success,away_possession,away_red_card,away_score,away_shot,away_shot_accuracy,away_shot_on_target,away_tackle_success,away_team,away_yellow_card,home_corner_kick,home_foul,home_offside,home_pass_fail,home_pass_success,home_possession,home_red_card,home_score,home_shot,home_shot_accuracy,home_shot_on_target,home_tackle_success,home_team,home_yellow_card,stadium,week
6,15,1,82,447,75,0,1,8,37.5,3,13,PSS SLEMAN,6,4,13,3,66,152,25,0,2,8,50,4,15,PERSEBAYA SURABAYA,5,"Stadion Gelora Bung Tomo, Surabaya",27
8,12,1,53,361,51,0,1,10,44.44,4,14,DEWA UNITED FC,2,5,10,2,64,360,49,0,4,15,63.64,7,24,PERSIJA JAKARTA,0,"Stadion Kapten I Wayan Dipta, Gianyar",27
4,12,3,82,371,56,0,1,11,30,3,11,BORNEO FC SAMARINDA,0,3,16,1,93,297,44,0,0,14,20,2,15,PERSITA TANGERANG,1,"Stadion Indomilk Arena, Tangerang",27
7,14,1,75,253,49,0,2,19,41.18,7,10,MADURA UNITED FC,2,6,18,4,82,265,51,0,3,16,50,7,13,BHAYANGKARA PRESISI INDONESIA FC,3,"Stadion STIK Jakarta, Jakarta Selatan",27
7,12,2,87,476,53,0,1,11,75,6,15,AREMA FC,2,3,18,1,69,424,47,0,0,9,14.29,1,8,PERSIKABO 1973,3,"Stadion Sultan Agung, Bantul",27
3,9,0,60,357,49,0,1,13,66.67,8,14,PS BARITO PUTERA,1,4,11,0,71,380,51,0,2,12,36.36,4,16,PERSIS SOLO,3,"Stadion Manahan, Solo",28
4,11,2,79,368,52,0,1,9,50,4,15,PERSIJA JAKARTA,4,6,13,1,68,351,48,0,2,13,55.56,5,11,PERSIB BANDUNG,3,"Stadion Si Jalak Harupat, Kab. Bandung",28
3,17,2,68,422,65,0,0,15,53.85,7,11,PSIS SEMARANG,1,4,16,1,57,237,35,0,2,13,71.43,5,8,BALI UNITED FC,1,"Stadion Kapten I Wayan Dipta, Gianyar",28
2,22,4,106,189,42,0,3,11,44.44,4,20,RANS NUSANTARA FC,2,5,26,0,101,261,58,0,4,12,75,6,11,PERSIK KEDIRI,1,"Stadion Brawijaya, Kediri",28
6,11,2,86,367,64,0,1,10,28.57,2,6,PSS SLEMAN,1,11,3,3,65,212,36,0,2,28,50,11,12,PSM MAKASSAR,1,"Stadion Batakan, Balikpapan",28
3,15,3,72,175,29,1,1,6,60,3,6,PERSEBAYA SURABAYA,4,7,12,0,78,441,71,0,2,12,66.67,6,13,BORNEO FC SAMARINDA,1,"Stadion Batakan, Balikpapan",28
7,15,2,78,344,52,0,1,13,53.85,7,16,PERSIKABO 1973,3,6,17,2,76,325,48,0,2,16,41.67,5,12,DEWA UNITED FC,5,"Stadion Indomilk Arena, Tangerang",28
4,17,1,85,326,49,0,0,17,36.36,4,7,BHAYANGKARA PRESISI INDONESIA FC,1,6,13,1,75,352,51,0,0,23,47.06,8,3,AREMA FC,1,"Stadion Kapten I Wayan Dipta, Gianyar",28
6,17,1,86,235,48,0,2,21,47.06,8,5,PERSITA TANGERANG,3,6,14,1,78,261,52,0,3,11,55.56,5,11,MADURA UNITED FC,2,"Stadion Gelora Bangkalan, Bangkalan",28
5,19,2,82,257,60,0,1,11,33.33,3,10,BALI UNITED FC,4,5,18,0,75,178,40,0,1,13,33.33,3,16,RANS NUSANTARA FC,3,"Stadion Sultan Agung, Bantul",29
4,16,0,66,309,41,0,2,12,55.56,5,17,PERSIS SOLO,2,5,9,1,65,453,59,0,0,13,11.11,1,18,PSIS SEMARANG,2,"Stadion Batakan, Balikpapan",29
3,16,4,62,254,38,0,3,19,68.75,11,11,DEWA UNITED FC,4,3,14,6,73,417,62,0,2,11,55.56,5,14,BHAYANGKARA PRESISI INDONESIA FC,3,"Stadion STIK Jakarta, Jakarta Selatan",29
1,17,3,65,382,59,0,0,10,28.57,2,22,PERSIK KEDIRI,2,1,19,2,61,276,41,1,2,6,40,2,21,PERSIJA JAKARTA,4,"Stadion Kapten I Wayan Dipta, Gianyar",29
5,12,2,91,242,52,0,1,21,41.18,7,10,PSM MAKASSAR,4,0,14,1,78,228,48,0,3,4,100,4,9,PS BARITO PUTERA,2,"Stadion Sultan Agung, Bantul",29
1,17,0,66,237,33,1,3,11,45.45,5,10,PERSIB BANDUNG,4,7,6,1,70,493,67,0,1,24,23.53,4,19,PERSIKABO 1973,0,"Stadion Kapten I Wayan Dipta, Gianyar",29
3,15,3,75,424,58,0,1,14,50,5,13,BORNEO FC SAMARINDA,1,4,12,3,85,317,42,0,0,12,44.44,4,10,PSS SLEMAN,1,"Stadion Manahan, Solo",29
1,13,1,72,338,54,0,0,9,33.33,2,16,MADURA UNITED FC,3,10,12,1,83,292,46,0,0,15,27.27,3,11,PERSEBAYA SURABAYA,2,"Stadion Gelora Bung Tomo, Surabaya",29
2,12,3,71,295,51,0,3,12,60,6,16,AREMA FC,0,8,21,1,82,292,49,0,4,13,70,7,11,PERSITA TANGERANG,4,"Stadion Indomilk Arena, Tangerang",29
5,13,0,85,421,60,0,0,8,28.57,2,13,RANS NUSANTARA FC,2,4,13,2,80,291,40,0,2,8,50,3,23,PERSIS SOLO,2,"Stadion Manahan, Solo",30
0,16,2,69,313,48,0,0,9,57.14,4,6,PERSIJA JAKARTA,3,6,14,1,61,346,52,1,1,22,37.5,6,13,BALI UNITED FC,5,"Stadion Kapten I Wayan Dipta, Gianyar",30
2,9,4,81,277,45,0,0,10,42.86,3,14,PSS SLEMAN,3,3,14,1,71,346,55,0,0,16,41.67,5,17,MADURA UNITED FC,3,"Stadion Gelora Bangkalan, Bangkalan",30
6,14,2,88,354,64,0,1,8,57.14,4,16,BORNEO FC SAMARINDA,2,6,10,4,88,202,36,0,1,17,46.67,7,21,PSM MAKASSAR,0,"Stadion Batakan, Balikpapan",30
6,13,1,77,345,54,0,0,13,18.18,2,5,PSIS SEMARANG,1,6,10,1,76,298,46,0,0,12,27.27,3,8,PS BARITO PUTERA,2,"Stadion Sultan Agung, Bantul",30
3,16,1,48,331,51,0,2,15,38.46,5,6,PERSIKABO 1973,1,3,15,0,48,322,49,0,5,23,61.11,11,13,PERSIK KEDIRI,1,"Stadion Brawijaya, Kediri",30
3,11,1,71,319,46,0,0,10,25,2,18,BHAYANGKARA PRESISI INDONESIA FC,3,8,14,0,75,375,54,0,0,20,33.33,5,12,PERSIB BANDUNG,0,"Stadion Si Jalak Harupat, Kab. Bandung",30
6,22,0,80,220,39,0,1,8,60,3,14,PERSEBAYA SURABAYA,2,5,13,0,71,348,61,0,0,21,62.5,10,14,AREMA FC,3,"Stadion Kapten I Wayan Dipta, Gianyar",30
4,15,2,76,236,44,0,1,13,50,5,17,PERSITA TANGERANG,1,7,20,1,68,306,56,0,4,20,50,10,13,DEWA UNITED FC,3,"Stadion Indomilk Arena, Tangerang",30
